"Num","Electorate","Candidate.Surname","Candidate.Given.names","Party","Winner"
1,"Auckland Central","ARDERN","Jacinda","Labour"
1,"Auckland Central","KAYE","Nikki","National",1
1,"Auckland Central","KOVALENKO","Dasha","ACT"
1,"Auckland Central","MONAHAN","Regan","Conservative"
1,"Auckland Central","OSMASTON","Jordan","Money Free Party"
1,"Auckland Central","PIERARD","Miriam","Internet Party"
1,"Auckland Central","ROCHE","Denise","Green"
1,"Auckland Central","WHITMORE","Peter","Climate Party"
2,"Bay of Plenty","CUNLIFFE","Deborah","Conservative"
2,"Bay of Plenty","DOLMAN","Raymond","NZ First"
2,"Bay of Plenty","HORAN","Brendan","NZ Independent Coalition"
2,"Bay of Plenty","LIVINGSTON","Tracy","Democrats for Social Credit"
2,"Bay of Plenty","MULLER","Todd","National",1
2,"Bay of Plenty","RICKARD","Ben","United Future"
2,"Bay of Plenty","WILSON","Clare","Labour"
3,"Botany","MCCORMICK","David John","Independent"
3,"Botany","MAMEDOV","Tofik","Labour"
3,"Botany","ROSS","Jami-Lee","National",1
3,"Botany","YOUNG","Paul","Conservative"
4,"Christchurch Central","ABRAHAM","George","NZ First"
4,"Christchurch Central","COLUMBUS","Robin","Democrats for Social Credit"
4,"Christchurch Central","COOKE","Michael","Conservative"
4,"Christchurch Central","DAVIDSON","Lenis","Māori"
4,"Christchurch Central","MILNE","Tony","Labour",1
4,"Christchurch Central","MOORHOUSE","David","Green"
4,"Christchurch Central","SEVERIN","Toni","ACT"
4,"Christchurch Central","WAGNER","Nicky","National"
5,"Christchurch East","BAKER","Leighton","Conservative"
5,"Christchurch East","HAYES","Jo","National"
5,"Christchurch East","MATAKI","Tania","Māori"
5,"Christchurch East","MATHERS","Mojo","Green"
5,"Christchurch East","PARK","Sam","United Future"
5,"Christchurch East","WILKINSON","Robert","Aotearoa Legalise Cannabis Party"
5,"Christchurch East","WILLIAMS","Poto","Labour",1
6,"Clutha-Southland","ASHTON","Lachie","Conservative"
6,"Clutha-Southland","BARCLAY","Todd","National",1
6,"Clutha-Southland","BARKLEY","Karl","NZ Independent Coalition"
6,"Clutha-Southland","CRAIG","Liz","Labour"
6,"Clutha-Southland","GOLDSMITH","Rachael","Green"
6,"Clutha-Southland","JOBSIS","Jason","Democrats for Social Credit"
6,"Clutha-Southland","NICOLSON","Don","ACT"
6,"Clutha-Southland","VEINT","James","Ban1080"
7,"Coromandel","DELAHUNTY","Catherine","Green"
7,"Coromandel","DOWNARD","Mike","Ban1080"
7,"Coromandel","ERTEL","Grant","NZ First"
7,"Coromandel","OLSEN","David Edward","ACT"
7,"Coromandel","PAKINGA","Hiria","Māori"
7,"Coromandel","POSCHL","Korbinian","Labour"
7,"Coromandel","SIMPSON","Scott","National",1
7,"Coromandel","WALKDEN","David","Conservative"
8,"Dunedin North","CLARK","David","Labour",1
8,"Dunedin North","DALEY","Jonathan","Conservative"
8,"Dunedin North","GRAAMANS","Adrian Daegal","Independent"
8,"Dunedin North","GRAY","Abe","Aotearoa Legalise Cannabis Party"
8,"Dunedin North","LUSBY","Stan","Independent"
8,"Dunedin North","MOWAT","Miriam","Democrats for Social Credit"
8,"Dunedin North","STEWART","Rob","Internet Party"
8,"Dunedin North","TUREI","Metiria","Green"
8,"Dunedin North","WOODHOUSE","Michael","National"
9,"Dunedin South","CRAWFORD","Julian","Aotearoa Legalise Cannabis Party"
9,"Dunedin South","CURRAN","Clare","Labour",1
9,"Dunedin South","GALLAGHER","Shane","Green"
9,"Dunedin South","KERR","Cindy","Conservative"
9,"Dunedin South","LEPINE","Andrew","Internet Party"
9,"Dunedin South","NICHOLLS","Colin William","ACT"
9,"Dunedin South","VOIGHT","Warren","Democrats for Social Credit"
9,"Dunedin South","WALKER","Hamish","National"
10,"East Coast","DRAYSON","Rick","Conservative"
10,"East Coast","MACKEY","Moana","Labour"
10,"East Coast","MACLEAN","Gavin","Green"
10,"East Coast","SALMON","Patrick","Internet Party"
10,"East Coast","SMITH","Harry Alchin","Democrats for Social Credit"
