"ACT","Conservative","Green","Labour","Māori","National","NZ First","Internet Mana","United Future"
"WHYTE, Jamie","CRAIG, Colin","TUREI, Metiria","CUNLIFFE, David","FLAVELL, Te Ururoa James","KEY, John","PETERS, Winston","HARAWIRA, Hone","DUNNE, Peter"
"WANG, Kenneth","RANKIN, Christine","NORMAN, Russel","PARKER, David","FOX, Marama","ENGLISH, Bill","MARTIN, Tracey","HARRÉ, Laila","SIMMONS, Alan"
"GRIEVE, Robin","McVICAR, Garth","HAGUE, Kevin","ROBERTSON, Grant","McKENZIE, Chris","CARTER, David","PROSSER, Richard Ivor","SYKES, Annette","LIGHT, Damian"
"HOULBROOKE, Beth","PERKIN, Melissa","SAGE, Eugenie","KING, Annette","PAENGA, Te Hira","BROWNLEE, Gerry","TABUTEAU, Fletcher","MINTO, John","EUSOFF, Sultan"
"NICOLSON, Don","SAAFI, Edward","HUGHES, Gareth","ARDERN, Jacinda","BUTTON, Ngaire","JOYCE, Steven","STEWART, Barbara","YONG, Chris","RICKARD, Ben"
"BERRY, Stephen","BLAIR, Callum","DELAHUNTY, Catherine","MAHUTA, Nanaia","TUAINE, Nancy","COLLINS, Judith","MITCHELL, Clayton","PIERARD, Miriam","WOOLSTON, Jason"
"KOVALENKO, Dasha","TAYLOR, Mel","GRAHAM, Kennedy","TWYFORD, Phil","ITI, Tame","PARATA, Hekia","O'ROURKE, Denis","NIKORA, Te Hāmua","STONYER, Dave"
"VEALE, Gareth","TAYLOR, Steve","GENTER, Julie Anne","COSGROVE, Clayton","KIEL, Eraia","FINLAYSON, Christopher","PARAONE, Pita","CURRIN, David","MOCKRIDGE, Bryan"
"CUMMINGS, Ian","BROWN, Roy","MATHERS, Mojo","HIPKINS, Chris","KAIPO, Anaru","BENNETT, Paula","MARK, Ron","PAPALI'I, James","TODD, Quentin"
"MUTI, Sara","YOUNG, Paul","LOGIE, Jan","MORONEY, Sue","BHANA, Raewyn","COLEMAN, Jonathan","BALL, Darroch","BALLANTINE, Beverley","MAXWELL, James"
"SEVERIN, Toni","AUBREY, Donald","CLENDON, David","LITTLE, Andrew","GLAVISH, Rangimarie Naida","McCULLY, Murray","BINDRA, Mahesh","GREENSILL, Angeline Ngahina","PARK, Sam"
